id,text,is_humor_all,funniness_all,funniness_female,funniness_male,funniness_18_25,funniness_26_40,funniness_41_55,funniness_56_70,is_off_all,offense_all,is_off_female,offense_female,is_off_male,offense_male,is_off_18_25,offense_18_25,is_off_26_40,offense_26_40,is_off_41_55,offense_41_55,is_off_56_70,offense_56_70
32,"Wife: Honey, i think you don't love our kids equally. It seems you have one that gets less love from you. Husband: Really? Which kid do you mean? Karl, Tina or the fat one",1,1.667,1.667,2.412,2.111,2.1,2,2,1,3.346,1,3.467,1,3.182,1,2.875,0,,1,3.375,1,3.6
33,"I don't see why so many Americans are anti-gay rights. For a country with 4 dads, you would think they'd be more accepting.",1,2.625,2.625,2.65,3.182,2.8,2.222,2,0,,0,,0,,0,,0,,0,,0,
34,What do you call an Asian woman on the moon? An Astronaut,1,1.643,1.643,1.5,1.667,1.556,1.571,,0,,0,,0,,0,,0,,0,,0,
35,I was asked how I view lesbian relationships. Apparently in HD wasn't the right answer.,1,2.294,2.294,2.857,2.636,2.818,2.3,2.667,0,,1,2.909,0,,1,3,0,,0,,0,
36,"They've thrown the same bile at you that they've always thrown at gay and bisexual people. But despite this obsessive, vicious campaign, your allies will never ever stop showing love, support and solidarity.",0,,,,,,,,0,,0,,0,,0,,0,,0,,0,
37,Iron Man is a super hero. Iron Woman is a command.,1,1.588,1.588,2.105,1.818,2.1,1.778,1.667,1,3.576,1,3.533,1,3.611,1,3.636,1,3.6,1,2.857,1,4.4
38,"Italian nurse allegedly killed medic girlfriend, falsely claimed she gave him coronavirus: reports",0,,,,,,,,0,,0,,0,,0,,0,,0,,0,
39,How did a sexy but unqualified Japanese woman get voted into public office? Erections,1,1.765,1.765,2.158,1.9,2.364,2,1.2,1,3.765,1,3.625,1,3.889,1,3.7,1,3.6,1,3.556,1,4.6
40,"Why didn't Peter Jackson cast any black actors in The Lord Of The Rings? He was afraid they wouldn't be taken on their merits, that they'd just be seen as Tolkien blacks.",1,2.375,2.375,2.125,2.1,2.3,2.375,2.25,1,3,0,,1,3,0,,1,2.286,0,,1,4
41,Did you hear about the fish that went deaf? It had to buy a herring aid,1,2.824,2.824,2.1,2.182,2.091,2.778,3,0,,0,,0,,0,,0,,0,,0,
42,Fat Cat Beer Hatch. Open Daily. 3pm-7pm. Mega ales and ciders. Only $3 a pint.,0,,,,,,,,0,,0,,0,,0,,0,,0,,0,
43,The gay blood ban (“one year with no gay sex” iteration) that emerged from the AIDS crisis is now keeping gay men from helping to address the #COVID_19 crisis.,0,,,,,,,,0,,0,,0,,0,,0,,0,,0,
44,Kindness is the language which the deaf can hear and the blind can see. - Mark Twain ,0,,,,,,,,0,,0,,0,,0,,0,,0,,0,
45,Women say they like a man in uniform but I've been wearing this naughty nurse outfit all day and not a single woman has approached me yet ,1,2.588,2.588,2.5,2.6,2.8,2.4,2.2,0,,0,,0,,0,,0,,0,,0,
46,"Diversity in the creative industry is dear to my heart, & for the past 3 years we've been working effortlessly to see Black talent thrive. ",0,,,,,,,,0,,0,,0,,0,,0,,0,,0,
47,What is black and stuck to the ceiling? A crappy electrician,1,1.882,1.882,1.6,1.545,2,1.889,1.333,0,,0,,1,4.077,0,,0,,0,,0,
48,It's funny how liberals think Donald Trump oppresses women and hates gays Like he's a Muslim or something.,1,1.182,1.182,1.923,2.143,1.333,1.571,1,1,3.75,1,3.938,1,3.562,1,4.222,1,3.2,1,3.375,1,4.6
49,"As an Australian-born Muslim, a city slicker..I'd never gotten to see the beauty of what the Australian outback offers, and this trip really opened my eyes",0,,,,,,,,0,,0,,0,,0,,0,,0,,0,
50,"Vintage Oversized Sunglasses, Italian Style from 70s, Sunglasses for Woman, Lady Sunglasses by Elgratex Why wait?",0,,,,,,,,0,,0,,0,,0,,0,,0,,0,
51,What do you call a fruit that is a vegetable? A crippled homo.,1,1.25,1.25,1.571,2,1.182,1.2,1.2,1,4.222,1,4.125,1,4.3,1,3.909,1,4.3,1,4.2,1,4.8
52,"I went to the doctors with hearing problems... He said ""Can you describe the symptoms?"" So I replied ""Homers fat, and Marge has blue hair""",1,3.176,3.176,2.15,2.636,2.182,2.7,3.4,0,,0,,0,,0,,0,,0,,0,
53,Why did the Muslim cross the road? To get to the bigger crowd,1,1.529,1.529,1.333,1.727,1.273,1.5,1,1,4.226,1,4.2,1,4.25,1,4.364,1,3.875,1,4.333,1,4.333
54,What did the bottle of milk say to the Mexican? Soy milk.,1,2.312,2.312,2.167,2.3,2.2,2.5,1.833,0,,0,,0,,0,,0,,0,,1,4.5
55,Whats better than winning gold at the paralympics? Having legs.....,1,1.529,1.529,2,2.091,2.091,1.6,1,1,3.941,1,3.882,1,4,1,3.6,1,4,1,3.889,1,4.5
56,#AlanTuring's trial for gross indecency commences for having had a then illegal homosexual relationship with a man. Today we remember the vital contributions that he made to the work of Bletchley Park,0,,,,,,,,0,,0,,0,,0,,0,,0,,0,
57,"We should really use the blackjack scale to rate women. For example: ""Every girl here is ugly"" ""Well, what about her? "" ""Eh, she's like a 15 or 16. Not sure if I'd hit it""",1,1.571,1.571,2.118,2,2.111,1.429,1.8,1,3.5,1,3.867,1,3.077,1,3.556,1,3,1,4,1,3.2
58,Such a pretty girl! I hope she enjoys her cake and has a great day!,0,,,,,,,,0,,0,,0,,0,,0,,0,,0,
59,"Oh my god, you've gotten so fat! Want me to make you something to eat? - my mother",1,3.071,3.071,2,2.625,2.111,2.3,3.5,0,,0,,0,,0,,0,,0,,0,
60,Israelis raise half a million dollars in 24 hours for orphaned 4-year-old twins of #coronavirus victim,0,,,,,,,,0,,0,,0,,0,,0,,0,,0,
